;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
1505062148;3893;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505063433;3894;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505064756;3895;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505065984;3896;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505067467;3897;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505068982;3898;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505070204;3899;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505071452;3900;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505072697;3901;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505074143;3902;-21;6;W4-RD01;75;W4-RD01;75;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505075550;3903;-21;6;W4-RD01;70;W4-RD01;70;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505121323;3908;-21;6;W4-RD01;65;W4-RD01;65;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505122308;3909;-21;6;W4-RD01;50;W4-RD01;50;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505123262;3910;-21;6;W4-RD01;40;W4-RD01;40;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505124273;3911;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
STOPED because fixing some config problems;3912;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
